"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 31 00:14:49 GMT 2024","Sun Mar 31 00:15:12 GMT 2024","22678","","","","","","Succesfully Login as User",""
"passed","Sun Mar 31 00:15:12 GMT 2024","Sun Mar 31 00:15:20 GMT 2024","8034","","","","","","Unsuccesful Login as User",""
"passed","Sun Mar 31 00:13:33 GMT 2024","Sun Mar 31 00:14:05 GMT 2024","32683","","","","","","Create Lead Source From Welcome Section",""
"passed","Sun Mar 31 00:12:26 GMT 2024","Sun Mar 31 00:12:45 GMT 2024","18807","","","","","","Edit Price of a Campaign",""
"passed","Sun Mar 31 00:12:56 GMT 2024","Sun Mar 31 00:13:22 GMT 2024","26424","","","","","","Create Lead Source From Inbound Section",""
"failed","Sun Mar 31 00:14:30 GMT 2024","Sun Mar 31 00:14:48 GMT 2024","17783","","","","","","Delete Lead",""
