"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Mar 30 22:32:46 GMT 2024","Sat Mar 30 22:32:46 GMT 2024","1","","","","","","Unsuccesful Login as User",""
"broken","Sat Mar 30 22:31:46 GMT 2024","Sat Mar 30 22:31:46 GMT 2024","1","","","","","","Succesfully Login as User",""
"broken","Sat Mar 30 22:30:46 GMT 2024","Sat Mar 30 22:30:46 GMT 2024","2","","","","","","Create Lead Source From Welcome Section",""
"failed","Sat Mar 30 22:29:09 GMT 2024","Sat Mar 30 22:29:14 GMT 2024","4731","","","","","","Edit Price of a Campaign",""
"broken","Sat Mar 30 22:29:28 GMT 2024","Sat Mar 30 22:29:46 GMT 2024","18303","","","","","","Create Lead Source From Inbound Section",""
